run,t,M1_gcm_aoi_dist,M2_angle_std,M3_defender_angle,sigmaR,muOmega,thetaOmega,clustered,anyWithin5,allBeyond20,defenderBetween,chosenBC
1,121,15.8745,0.0526048,0.00834332,0.869812,0,0,1,0,0,1,1
1,122,16.152,0.0660369,0.000375001,0.421714,0,0,1,0,0,1,2
1,123,16.604,0.0771373,0.0034219,0.810093,0,0,1,0,0,1,5
1,124,16.8463,0.0674671,0.00436736,1.06709,0,0,1,0,0,1,2
1,125,17.0776,0.0491375,0.00525318,1.04363,0,0,1,0,0,1,1
1,126,17.0926,0.053818,0.0188929,1.0924,0,0,1,0,0,1,1
1,127,17.3954,0.0627767,0.002433,0.900904,0,0,1,0,0,1,6
1,128,17.5905,0.0695526,0.0134449,0.571683,0,0,1,0,0,1,9
1,129,17.5657,0.0740217,0.0773746,0.824695,0,0,1,0,0,1,9
1,130,17.4832,0.0664239,0.179118,1.18448,0,0,1,0,0,1,8
1,131,17.2234,0.0543074,0.0343329,1.12622,0,0,1,0,0,1,1
1,132,17.3018,0.0550204,0.102526,0.83479,0,0,1,0,0,1,9
1,133,17.2314,0.0849221,0.0261342,0.552759,0,0,1,0,0,1,8
1,134,17.1763,0.0801008,0.00292019,1.02905,0,0,1,0,0,1,5
1,135,16.9265,0.0646479,0.209315,1.09066,0,0,1,0,0,1,8
1,136,16.6574,0.0446922,0.0879288,0.994127,0,0,1,0,0,1,6
1,137,16.5292,0.0549049,0.0117891,0.920814,0,0,1,0,0,1,5
1,138,16.7419,0.0645453,0.0117219,0.885826,0,0,1,0,0,1,8
1,139,16.6998,0.0720671,0.00858094,1.02046,0,0,1,0,0,1,8
1,140,16.6464,0.0669336,0.0346756,0.922979,0,0,1,0,0,1,2
1,141,16.7403,0.0481258,0.0170424,0.979213,0,0,1,0,0,1,1
1,142,17.0712,0.0436215,0.0325603,1.04187,0,0,1,0,0,1,2
1,143,17.1245,0.0644014,0.025394,0.872283,0,0,1,0,0,1,1
